2020-04-08 13:59:27,986 MainThread      ERROR    sync           :215      Connection to (supevisor, 5020) failed: [Errno 111] Connection refused
2020-04-08 13:59:32,493 MainThread      DEBUG    sync           :347      Started thread to serve client at ('192.168.1.105', 40355)
2020-04-08 13:59:32,495 Thread-1        DEBUG    sync           :46       Client Connected [192.168.1.105:40355]
2020-04-08 13:59:32,496 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x1 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:32,496 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x1 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:32,497 Thread-1        DEBUG    factory        :137      Factory Request[WriteSingleRegisterRequest: 6]
2020-04-08 13:59:32,498 Thread-1        DEBUG    context        :64       validate: fc-[6] address-1: count-1
2020-04-08 13:59:32,498 Thread-1        DEBUG    context        :90       setValues[6] 1:1
2020-04-08 13:59:32,498 Thread-1        DEBUG    context        :78       getValues fc-[6] address-1: count-1
2020-04-08 13:59:32,499 Thread-1        DEBUG    sync           :229      send: [WriteRegisterResponse 0 => 0]- b'000100000006000600000000'
2020-04-08 13:59:33,001 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:33,001 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:33,002 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:33,002 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:33,002 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:33,003 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0002000000050003020000'
2020-04-08 13:59:33,511 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x3 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:33,511 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x3 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:33,512 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:33,512 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:33,512 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:33,513 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0003000000050003020000'
2020-04-08 13:59:34,019 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x4 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,019 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x4 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,020 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:34,020 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:34,020 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:34,021 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0004000000050003020000'
2020-04-08 13:59:34,525 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x5 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,525 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x5 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,526 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:34,526 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:34,527 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:34,527 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0005000000050003020000'
2020-04-08 13:59:34,641 MainThread      DEBUG    transaction    :115      Current transaction state - IDLE
2020-04-08 13:59:34,641 MainThread      DEBUG    sync           :347      Started thread to serve client at ('127.0.0.1', 42937)
2020-04-08 13:59:34,641 MainThread      DEBUG    transaction    :120      Running transaction 1
2020-04-08 13:59:34,642 MainThread      DEBUG    transaction    :219      SEND: 0x0 0x1 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,642 MainThread      DEBUG    sync           :75       New Transaction state 'SENDING'
2020-04-08 13:59:34,643 Thread-2        DEBUG    sync           :46       Client Connected [127.0.0.1:42937]
2020-04-08 13:59:34,643 MainThread      DEBUG    transaction    :228      Changing transaction state from 'SENDING' to 'WAITING FOR REPLY'
2020-04-08 13:59:34,644 Thread-2        DEBUG    sync           :199      Handling data: 0x0 0x1 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,644 Thread-2        DEBUG    socket_framer  :147      Processing: 0x0 0x1 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,644 Thread-2        DEBUG    factory        :137      Factory Request[WriteSingleRegisterRequest: 6]
2020-04-08 13:59:34,645 Thread-2        DEBUG    context        :64       validate: fc-[6] address-1: count-1
2020-04-08 13:59:34,645 Thread-2        DEBUG    context        :90       setValues[6] 1:1
2020-04-08 13:59:34,645 Thread-2        DEBUG    context        :78       getValues fc-[6] address-1: count-1
2020-04-08 13:59:34,646 Thread-2        DEBUG    sync           :229      send: [WriteRegisterResponse 0 => 1]- b'000100000006000600000001'
2020-04-08 13:59:34,646 MainThread      DEBUG    transaction    :304      Changing transaction state from 'WAITING FOR REPLY' to 'PROCESSING REPLY'
2020-04-08 13:59:34,647 MainThread      DEBUG    transaction    :233      RECV: 0x0 0x1 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,647 MainThread      DEBUG    socket_framer  :147      Processing: 0x0 0x1 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,648 MainThread      DEBUG    factory        :266      Factory Response[WriteSingleRegisterResponse: 6]
2020-04-08 13:59:34,648 MainThread      DEBUG    transaction    :383      Adding transaction 1
2020-04-08 13:59:34,648 MainThread      DEBUG    transaction    :394      Getting transaction 1
2020-04-08 13:59:34,649 MainThread      DEBUG    transaction    :193      Changing transaction state from 'PROCESSING REPLY' to 'TRANSACTION_COMPLETE'
2020-04-08 13:59:35,032 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x6 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:35,033 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x6 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:35,033 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:35,033 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:35,034 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:35,034 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0006000000050003020001'
2020-04-08 13:59:35,539 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x7 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:35,540 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x7 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:35,540 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:35,540 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:35,541 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:35,541 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0007000000050003020001'
2020-04-08 13:59:35,689 MainThread      DEBUG    transaction    :115      Current transaction state - TRANSACTION_COMPLETE
2020-04-08 13:59:35,690 MainThread      DEBUG    transaction    :120      Running transaction 2
2020-04-08 13:59:35,690 MainThread      DEBUG    transaction    :219      SEND: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:35,690 MainThread      DEBUG    sync           :75       New Transaction state 'SENDING'
2020-04-08 13:59:35,691 MainThread      DEBUG    transaction    :228      Changing transaction state from 'SENDING' to 'WAITING FOR REPLY'
2020-04-08 13:59:35,691 Thread-2        DEBUG    sync           :199      Handling data: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
